ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier Part
1,BLADE FUSE HOLDER,10AMP,BLADE_FUSE,1,,,
2,DB910-6.35-2P,12V,CONN-TH_2P-P6.35_DB910-6.35-2P,1,DB910-6.35-2P-GN-S,DORABO(地博电气),C395872
3,0.1u,"C1,C2,C3,C4,C5,C6,C9,C10",C0805,8,,,
4,220uF,"C7,C8",CAP-TH_BD10.0-P5.00-D1.0-FD,2,2GUTWHS100M0G12,TK,C530583
5,SB5100-T,D1,DO-201AD_BD5.3-L8.4-P12.50-D1.4-RD,1,SB5100-T,DIODES(美台),C154717
6,1N4002G,D2,SMA_L4.4-W2.6-LS5.0-RD,1,1N4002G,Shikues,C433393
7,340-3.81-3P,"IN,OUT",340-3.81-3P,2,3.81_2_TB,,
8,HDR-M-2.54_1x2,J1,HDR-M-2.54_1X2,1,,,C124375
9,2P-P3.81,"OUT_1_R,OUT_2_B,OUT_3_B,OUT_4_R,OUT_5_G,OUT_6_D,OUT_7_R,OUT_8_G,OUT_9_B,OUT_10_R,OUT_11_G,OUT_12_B,OUT_13_R,OUT_14_G,OUT_15_B",CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,15,2P-P3.81_KF2EDGV-3.81-2P,null,C9900017459
10,PWR,PWR,LED0805_BLUE,1,D-B080508B1-KS2,方舟 ARKLED,C108412
11,IRF3708,"Q1,Q4,Q5,Q7,Q9,Q11,Q13,Q15,Q17,Q20,Q22,Q24,Q26,Q28,Q29",TO-220AB,15,,,
12,O,"R1,R2,R3,R4,R5",R0805,5,,,
13,5.1K,"R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35",R0805,30,,,
14,5K,R36,R0805,1,,,
15,33,R37,R0805,1,,,
16,WS2811-SOP8,"U1,U2,U3,U4,U5",SO08-SKINNYPADS,5,,,
17,MMBT3904,"U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,15,MMBT3904-MS,MSKSEMI(美森科),C5120740
18,LM2596-5.0,5,TO-220,1,7805,Foshan Blue Rocket Elec,C305416
